filename,objects_name,xmin,xmax,ymin,ymax,img_width,img_height,img_depth,objects_label
000005.jpg,chair,263,324,211,339,500,375,3,1
000005.jpg,chair,165,253,264,372,500,375,3,1
000005.jpg,chair,5,67,244,374,500,375,3,1
000005.jpg,chair,241,295,194,299,500,375,3,1
000005.jpg,chair,277,312,186,220,500,375,3,1
000007.jpg,car,141,500,50,330,500,333,3,2
000009.jpg,horse,69,270,172,330,500,375,3,3
000009.jpg,person,150,229,141,284,500,375,3,4
000009.jpg,person,285,327,201,331,500,375,3,4
000009.jpg,person,258,297,198,329,500,375,3,4
000012.jpg,car,156,351,97,270,500,333,3,2
000016.jpg,bicycle,92,305,72,473,334,500,3,5
000017.jpg,person,185,279,62,199,480,364,3,4
000017.jpg,horse,90,403,78,336,480,364,3,3
000019.jpg,cat,231,483,88,256,500,375,3,6
000019.jpg,cat,11,266,113,259,500,375,3,6
000020.jpg,car,33,371,148,416,375,500,3,2
000021.jpg,dog,1,182,235,388,336,500,3,7
000021.jpg,person,210,336,36,482,336,500,3,4
000021.jpg,person,46,170,82,365,336,500,3,4
000021.jpg,person,11,142,181,419,336,500,3,4
000023.jpg,bicycle,9,245,230,500,334,500,3,5
000023.jpg,bicycle,230,334,220,500,334,500,3,5
000023.jpg,bicycle,2,90,178,500,334,500,3,5
000023.jpg,person,2,117,1,369,334,500,3,4
000023.jpg,person,3,243,2,462,334,500,3,4
000023.jpg,person,225,334,1,486,334,500,3,4
000024.jpg,train,196,489,165,247,500,335,3,8
000026.jpg,car,90,337,125,212,500,333,3,2
000030.jpg,bicycle,36,180,205,289,500,375,3,5
000030.jpg,person,51,150,160,292,500,375,3,4
000030.jpg,person,295,450,138,290,500,375,3,4
000032.jpg,aeroplane,104,375,78,183,500,281,3,9
000032.jpg,aeroplane,133,197,88,123,500,281,3,9
000032.jpg,person,195,213,180,229,500,281,3,4
000032.jpg,person,26,44,189,238,500,281,3,4
000033.jpg,aeroplane,9,499,107,263,500,366,3,9
000033.jpg,aeroplane,421,482,200,226,500,366,3,9
000033.jpg,aeroplane,325,411,188,223,500,366,3,9
000034.jpg,train,116,360,167,400,360,500,3,8
000034.jpg,train,141,333,153,229,360,500,3,8
000035.jpg,person,1,191,96,361,500,375,3,4
000035.jpg,person,218,465,98,318,500,375,3,4
000035.jpg,person,468,500,195,317,500,375,3,4
000035.jpg,diningtable,3,500,304,375,500,375,3,10
000036.jpg,dog,27,319,79,344,332,500,3,7
